date,open,high,low,close,volume,openinterest,ma
2018-01-02,5.796,6.166,5.686,6.136,800337.0,0.0,0.0
2018-01-03,6.086,6.336,5.976,6.016,818695.0,0.0,0.0
2018-01-04,5.956,6.276,5.956,6.066,783465.0,0.0,0.0
2018-01-05,6.006,6.176,5.956,5.966,568875.0,0.0,0.0
2018-01-08,6.086,6.496,5.996,6.356,1019564.0,0.0,0.0
2018-01-09,6.366,6.546,6.266,6.376,747372.0,0.0,0.0
2018-01-10,6.296,6.716,6.126,6.706,1084765.0,0.0,0.0
2018-01-11,6.566,6.626,6.336,6.356,707058.0,0.0,0.0
2018-01-12,6.316,6.616,6.136,6.206,870752.0,0.0,0.0
2018-01-15,5.976,6.056,5.596,5.676,775675.0,0.0,0.0
2018-01-16,5.686,5.836,5.596,5.746,566031.0,0.0,0.0
2018-01-17,5.716,6.056,5.566,5.886,838384.0,0.0,0.0
2018-01-18,5.846,6.176,5.846,6.126,735939.0,0.0,0.0
2018-01-19,6.136,6.436,6.126,6.306,917314.0,0.0,0.0
2018-01-22,6.416,6.866,6.406,6.756,1030121.0,0.0,0.0
2018-01-23,6.586,6.936,6.436,6.866,830220.0,0.0,0.0
2018-01-24,6.766,6.906,6.566,6.736,638725.0,0.0,0.0
2018-01-25,6.706,6.816,6.466,6.576,782783.0,0.0,0.0
2018-01-26,6.526,6.826,6.386,6.746,748565.0,0.0,0.0
2018-01-29,6.896,7.246,6.746,7.226,1346397.0,0.0,0.0
2018-01-30,7.216,7.386,6.636,6.666,1579479.0,0.0,0.0
2018-01-31,6.506,6.946,6.466,6.766,958027.0,0.0,0.0
2018-02-01,6.896,7.526,6.896,7.156,1950298.0,0.0,0.0
2018-02-02,6.966,7.616,6.626,7.456,1496536.0,0.0,0.0
2018-02-05,7.266,8.076,7.266,7.796,1430349.0,0.0,0.0
2018-02-06,7.526,7.846,7.116,7.146,1103631.0,0.0,0.0
2018-02-07,7.436,7.696,6.866,6.936,1238810.0,0.0,0.0
2018-02-08,6.916,7.056,6.486,6.806,1016493.0,0.0,0.0
2018-02-09,6.666,6.806,6.046,6.186,1106997.0,0.0,0.0
2018-02-12,6.296,6.406,6.116,6.376,566875.0,0.0,0.0
2018-02-13,6.536,6.656,6.386,6.396,654179.0,0.0,0.0
2018-02-14,6.366,6.796,6.286,6.756,753462.0,0.0,0.0
2018-02-22,6.836,6.946,6.676,6.936,745627.0,0.0,0.0
2018-02-23,6.916,7.206,6.716,7.106,825028.0,0.0,0.0
2018-02-26,7.336,7.416,7.076,7.226,901330.0,0.0,0.0
2018-02-27,7.126,7.256,6.906,6.936,740741.0,0.0,0.0
2018-02-28,6.906,7.056,6.746,7.046,708573.0,0.0,0.0
2018-03-01,6.916,7.146,6.866,6.996,742975.0,0.0,0.0
2018-03-02,6.746,6.746,6.456,6.496,915023.0,0.0,0.0
2018-03-05,6.516,6.626,6.056,6.226,904736.0,0.0,0.0
2018-03-06,6.286,6.526,6.126,6.516,848125.0,0.0,0.0
2018-03-07,6.426,6.506,6.166,6.236,681817.0,0.0,0.0
2018-03-08,6.156,6.286,6.106,6.166,611608.0,0.0,0.0
2018-03-09,6.126,6.156,5.856,5.996,850170.0,0.0,0.0
2018-03-12,6.016,6.166,5.936,6.126,610260.0,0.0,0.0
2018-03-13,6.066,6.256,6.046,6.086,470395.0,0.0,0.0
2018-03-14,6.036,6.396,5.976,6.356,888256.0,0.0,0.0
2018-03-15,6.286,6.376,6.186,6.296,534011.0,0.0,0.0
2018-03-16,6.366,6.366,6.066,6.096,501387.0,0.0,0.0
2018-03-19,5.916,5.936,5.656,5.706,725591.0,0.0,0.0
2018-03-20,5.616,5.806,5.566,5.706,431815.0,0.0,0.0
2018-03-21,5.736,5.796,5.436,5.526,491133.0,0.0,0.0
2018-03-22,5.536,5.576,5.366,5.386,369029.0,0.0,0.0
2018-03-23,4.926,5.036,4.766,4.766,954592.0,0.0,0.0
2018-03-26,4.636,4.706,4.376,4.686,738456.0,0.0,0.0
2018-03-27,4.796,4.956,4.766,4.836,525309.0,0.0,0.0
2018-03-28,4.686,4.976,4.616,4.796,421207.0,0.0,0.0
2018-03-29,4.916,5.216,4.726,5.136,837774.0,0.0,0.0
2018-03-30,5.116,5.206,5.046,5.156,455522.0,0.0,0.0
2018-04-02,5.216,5.396,5.136,5.196,580912.0,0.0,0.0
2018-04-03,4.996,5.126,4.896,4.966,503332.0,0.0,0.0
2018-04-04,5.016,5.096,4.876,4.906,455870.0,0.0,0.0
2018-04-09,4.896,5.086,4.876,5.056,488055.0,0.0,0.0
2018-04-10,5.086,5.356,5.086,5.346,636661.0,0.0,0.0
2018-04-11,5.516,5.576,5.216,5.246,596761.0,0.0,0.0
2018-04-12,5.186,5.276,5.156,5.236,322994.0,0.0,0.0
2018-04-13,5.276,5.336,5.196,5.286,348907.0,0.0,0.0
2018-04-16,5.246,5.246,4.896,5.026,515260.0,0.0,0.0
2018-04-17,4.996,5.116,4.936,4.966,327534.0,0.0,0.0
2018-04-18,5.086,5.166,4.966,5.126,593107.0,0.0,0.0
2018-04-19,5.106,5.386,5.076,5.356,657616.0,0.0,0.0
2018-04-20,5.296,5.336,5.116,5.136,430442.0,0.0,0.0
2018-04-23,5.196,5.296,5.046,5.126,353597.0,0.0,0.0
2018-04-24,5.236,5.426,5.216,5.386,755478.0,0.0,0.0
2018-04-25,5.306,5.366,5.256,5.336,379555.0,0.0,0.0
2018-04-26,5.326,5.326,5.086,5.136,427009.0,0.0,0.0
2018-04-27,5.086,5.146,4.836,4.936,628878.0,0.0,0.0
2018-05-02,4.956,5.206,4.896,5.186,523229.0,0.0,0.0
2018-05-03,5.236,5.336,5.146,5.216,667036.0,0.0,0.0
2018-05-04,5.166,5.296,5.126,5.176,367984.0,0.0,0.0
2018-05-07,5.196,5.306,5.126,5.246,397659.0,0.0,0.0
2018-05-08,5.256,5.306,5.186,5.216,356448.0,0.0,0.0
2018-05-09,5.176,5.186,4.976,5.016,527734.0,0.0,0.0
2018-05-10,5.046,5.066,4.966,5.026,344701.0,0.0,0.0
2018-05-11,5.076,5.166,5.016,5.156,483678.0,0.0,0.0
2018-05-14,5.176,5.176,5.046,5.086,312687.0,0.0,0.0
2018-05-15,5.116,5.136,4.896,5.026,409074.0,0.0,0.0
2018-05-16,4.996,4.996,4.886,4.916,336665.0,0.0,0.0
2018-05-17,4.906,4.966,4.866,4.936,263463.0,0.0,0.0
2018-05-18,4.916,4.966,4.856,4.946,237935.0,0.0,0.0
2018-05-21,5.046,5.076,4.946,4.966,311303.0,0.0,0.0
2018-05-22,4.946,4.966,4.856,4.906,247071.0,0.0,0.0
2018-05-23,4.886,4.886,4.696,4.706,390094.0,0.0,0.0
2018-05-24,4.696,4.736,4.616,4.646,200881.0,0.0,0.0
2018-05-25,4.676,4.676,4.586,4.646,185292.0,0.0,0.0
2018-05-28,4.636,4.656,4.476,4.486,310828.0,0.0,0.0
2018-05-29,4.466,4.956,4.366,4.866,720925.0,0.0,0.0
2018-05-30,4.716,4.796,4.556,4.596,435391.0,0.0,0.0
2018-05-31,4.676,4.746,4.546,4.676,324962.0,0.0,0.0
2018-06-01,4.686,4.926,4.676,4.766,591764.0,0.0,0.0
2018-06-04,4.776,4.896,4.776,4.846,375386.0,0.0,0.0
2018-06-05,4.856,4.856,4.726,4.826,266592.0,0.0,0.0
2018-06-06,4.836,5.016,4.796,4.976,474376.0,0.0,0.0
2018-06-07,5.056,5.336,5.056,5.286,975579.0,0.0,0.0
2018-06-08,5.256,5.366,5.166,5.206,502038.0,0.0,0.0
2018-06-11,5.186,5.436,5.076,5.336,597956.0,0.0,0.0
2018-06-12,5.316,5.506,5.296,5.396,422907.0,0.0,0.0
2018-06-13,5.396,5.656,5.356,5.496,681303.0,0.0,0.0
2018-06-14,5.516,5.766,5.426,5.736,630734.0,0.0,0.0
2018-06-15,5.666,5.986,5.646,5.756,671493.0,0.0,0.0
2018-06-19,5.656,5.716,5.106,5.236,911723.0,0.0,0.0
2018-06-20,5.216,5.646,5.216,5.556,619967.0,0.0,0.0
2018-06-21,5.556,5.796,5.306,5.396,638539.0,0.0,0.0
2018-06-22,5.276,5.546,5.136,5.476,561030.0,0.0,0.0
2018-06-25,5.476,5.486,5.236,5.256,406408.0,0.0,0.0
2018-06-26,5.096,5.096,4.716,4.966,689139.0,0.0,0.0
2018-06-27,4.966,4.986,4.756,4.776,355397.0,0.0,0.0
2018-06-28,4.836,4.936,4.636,4.746,431782.0,0.0,0.0
2018-06-29,4.786,4.906,4.676,4.886,332450.0,0.0,0.0
2018-07-02,4.836,4.866,4.626,4.776,363375.0,0.0,0.0
2018-07-03,4.706,4.766,4.606,4.736,228502.0,0.0,0.0
2018-07-04,4.836,4.986,4.816,4.866,460278.0,0.0,0.0
2018-07-05,4.806,4.906,4.676,4.686,313682.0,0.0,0.0
2018-07-06,4.676,4.906,4.606,4.816,320940.0,0.0,0.0
2018-07-09,4.956,5.086,4.876,5.076,388426.0,0.0,0.0
2018-07-10,5.136,5.376,5.136,5.276,404123.0,0.0,0.0
2018-07-11,5.096,5.286,4.996,5.246,340620.0,0.0,0.0
2018-07-12,5.326,5.536,5.326,5.476,520836.0,0.0,0.0
2018-07-13,5.486,5.676,5.306,5.556,553297.0,0.0,0.0
2018-07-16,5.536,5.646,5.436,5.536,288555.0,0.0,0.0
2018-07-17,5.486,5.496,5.206,5.316,411979.0,0.0,0.0
2018-07-18,5.336,5.366,5.226,5.236,234076.0,0.0,0.0
2018-07-19,5.366,5.536,5.346,5.446,594388.0,0.0,0.0
2018-07-20,5.436,5.746,5.406,5.726,822781.0,0.0,0.0
2018-07-23,5.666,6.356,5.616,6.346,921086.0,0.0,0.0
2018-07-24,6.656,6.856,6.276,6.356,1228517.0,0.0,0.0
2018-07-25,6.406,6.676,6.326,6.536,666846.0,0.0,0.0
2018-07-26,6.496,6.536,6.296,6.406,396538.0,0.0,0.0
2018-07-27,6.596,6.746,6.436,6.636,656025.0,0.0,0.0
2018-07-30,6.636,7.146,6.636,6.846,693226.0,0.0,0.0
2018-07-31,6.766,6.926,6.666,6.846,379811.0,0.0,0.0
2018-08-01,6.986,7.046,6.416,6.456,644132.0,0.0,0.0
2018-08-02,6.426,6.566,6.166,6.486,668634.0,0.0,0.0
2018-08-03,6.476,6.816,6.436,6.486,629319.0,0.0,0.0
2018-08-06,6.456,6.616,6.226,6.526,459193.0,0.0,0.0
2018-08-07,6.536,6.786,6.336,6.746,522553.0,0.0,0.0
2018-08-08,6.706,6.886,6.526,6.596,541610.0,0.0,0.0
2018-08-09,6.436,6.726,6.426,6.626,428293.0,0.0,0.0
2018-08-10,6.626,6.696,6.536,6.576,413292.0,0.0,0.0
2018-08-13,6.516,6.846,6.506,6.816,571374.0,0.0,0.0
2018-08-14,6.766,6.816,6.536,6.566,495392.0,0.0,0.0
2018-08-15,6.566,6.646,6.246,6.316,473048.0,0.0,0.0
2018-08-16,6.146,6.386,6.056,6.326,296677.0,0.0,0.0
2018-08-17,6.386,6.416,6.156,6.296,275142.0,0.0,0.0
2018-08-20,6.286,6.446,6.156,6.426,305918.0,0.0,0.0
2018-08-21,6.336,6.436,6.276,6.326,340126.0,0.0,0.0
2018-08-22,6.316,6.466,6.286,6.296,268938.0,0.0,0.0
2018-08-23,6.296,6.316,5.986,6.126,345726.0,0.0,0.0
2018-08-24,6.126,6.166,6.046,6.106,185258.0,0.0,0.0
2018-08-27,6.136,6.226,6.086,6.216,241107.0,0.0,0.0
2018-08-28,6.226,6.356,6.166,6.326,269971.0,0.0,0.0
2018-08-29,6.286,6.346,6.196,6.206,195972.0,0.0,0.0
2018-08-30,6.156,6.186,5.866,5.896,393885.0,0.0,0.0
2018-08-31,5.236,5.876,5.236,5.716,334911.0,0.0,0.0
2018-09-03,5.706,5.756,5.466,5.606,277286.0,0.0,0.0
2018-09-04,5.656,5.796,5.566,5.716,234751.0,0.0,0.0
2018-09-05,5.676,5.686,5.446,5.456,231009.0,0.0,0.0
2018-09-06,5.456,5.616,5.436,5.496,181683.0,0.0,0.0
