date,open,high,low,close,volume,openinterest,ma
2018-01-02,5.89,6.0,5.87,5.99,37461.0,0.0,0.0
2018-01-03,5.99,6.05,5.95,6.04,24639.0,0.0,0.0
2018-01-04,6.04,6.07,6.0,6.03,22957.0,0.0,0.0
2018-01-05,6.05,6.13,6.02,6.1,25479.0,0.0,0.0
2018-01-08,6.1,6.11,6.0,6.1,18869.0,0.0,0.0
2018-01-09,6.04,6.09,6.02,6.06,17311.0,0.0,0.0
2018-01-10,6.08,6.08,5.91,5.94,20768.0,0.0,0.0
2018-01-11,5.96,6.04,5.91,6.03,13401.0,0.0,0.0
2018-01-12,6.03,6.05,5.98,6.03,16040.0,0.0,0.0
2018-01-15,6.03,6.03,5.72,5.75,28297.0,0.0,0.0
2018-01-16,5.75,5.83,5.68,5.78,16170.0,0.0,0.0
2018-01-17,5.75,5.79,5.62,5.73,27853.0,0.0,0.0
2018-01-18,5.72,5.98,5.66,5.82,25251.0,0.0,0.0
2018-01-19,5.81,5.91,5.77,5.82,16596.0,0.0,0.0
2018-01-22,5.81,5.9,5.73,5.89,15516.0,0.0,0.0
2018-01-23,5.87,6.06,5.86,5.96,31904.0,0.0,0.0
2018-01-24,5.96,6.03,5.88,6.0,22188.0,0.0,0.0
2018-01-25,5.99,6.03,5.93,5.95,16737.0,0.0,0.0
2018-01-26,5.95,5.99,5.87,5.89,15837.0,0.0,0.0
2018-01-29,5.9,6.05,5.86,6.03,28511.0,0.0,0.0
2018-01-30,5.96,6.16,5.96,6.01,26702.0,0.0,0.0
2018-01-31,5.99,5.99,5.6,5.64,37596.0,0.0,0.0
2018-02-01,5.61,5.68,5.13,5.15,43910.0,0.0,0.0
2018-02-02,5.1,5.14,4.85,5.04,21224.0,0.0,0.0
2018-02-05,5.01,5.11,4.87,4.97,16037.0,0.0,0.0
2018-02-06,4.91,4.93,4.62,4.63,22582.0,0.0,0.0
2018-02-07,4.72,4.83,4.55,4.71,20872.0,0.0,0.0
2018-02-08,4.72,4.87,4.7,4.85,17521.0,0.0,0.0
2018-02-09,4.73,4.9,4.66,4.8,20369.0,0.0,0.0
2018-02-12,4.81,5.13,4.81,4.94,15766.0,0.0,0.0
2018-02-13,4.93,5.08,4.93,4.93,11007.0,0.0,0.0
2018-02-14,4.95,5.04,4.88,5.01,11996.0,0.0,0.0
2018-02-22,5.02,5.3,4.99,5.17,20232.0,0.0,0.0
2018-02-23,5.15,5.2,5.1,5.11,14278.0,0.0,0.0
2018-02-26,5.12,5.25,5.12,5.21,15420.0,0.0,0.0
2018-02-27,5.21,5.26,5.16,5.21,15699.0,0.0,0.0
2018-02-28,5.2,5.31,5.1,5.26,19969.0,0.0,0.0
2018-03-01,5.22,5.32,5.19,5.28,12461.0,0.0,0.0
2018-03-02,5.28,5.48,5.24,5.3,20894.0,0.0,0.0
2018-03-05,5.3,5.33,5.21,5.25,17666.0,0.0,0.0
2018-03-06,5.26,5.38,5.24,5.35,13553.0,0.0,0.0
2018-03-07,5.34,5.52,5.32,5.41,22445.0,0.0,0.0
2018-03-08,5.34,5.41,5.33,5.41,9541.0,0.0,0.0
2018-03-09,5.4,5.61,5.36,5.51,20359.0,0.0,0.0
2018-03-12,5.51,5.62,5.45,5.58,23238.0,0.0,0.0
2018-03-13,5.57,5.76,5.53,5.71,34398.0,0.0,0.0
2018-03-14,5.79,5.79,5.45,5.51,29149.0,0.0,0.0
2018-03-15,5.51,5.51,5.37,5.46,24128.0,0.0,0.0
2018-03-16,5.46,5.75,5.45,5.55,26403.0,0.0,0.0
2018-03-19,5.49,5.63,5.49,5.59,14447.0,0.0,0.0
2018-03-20,5.59,5.8,5.45,5.73,44345.0,0.0,0.0
2018-03-21,5.68,5.98,5.68,5.69,48034.0,0.0,0.0
2018-03-22,5.69,5.96,5.66,5.94,45679.0,0.0,0.0
2018-03-23,5.88,6.14,5.72,5.79,108043.0,0.0,0.0
2018-03-26,5.52,5.78,5.21,5.7,54830.0,0.0,0.0
2018-03-27,5.71,5.95,5.7,5.92,49817.0,0.0,0.0
2018-03-28,5.83,5.98,5.8,5.93,36173.0,0.0,0.0
2018-03-29,5.93,6.03,5.91,6.03,26357.0,0.0,0.0
2018-03-30,6.02,6.15,6.01,6.02,30744.0,0.0,0.0
2018-04-02,5.99,6.13,5.91,5.92,33798.0,0.0,0.0
2018-04-03,5.89,5.89,5.76,5.8,16858.0,0.0,0.0
2018-04-04,5.81,5.91,5.77,5.83,12588.0,0.0,0.0
2018-04-09,5.78,5.83,5.66,5.8,18991.0,0.0,0.0
2018-04-10,5.79,5.81,5.64,5.7,15670.0,0.0,0.0
2018-04-11,5.7,5.79,5.69,5.77,15530.0,0.0,0.0
2018-04-12,5.77,5.87,5.71,5.76,14782.0,0.0,0.0
2018-04-13,5.78,5.81,5.64,5.72,13662.0,0.0,0.0
2018-04-16,5.67,5.69,5.55,5.66,10239.0,0.0,0.0
2018-04-17,5.67,5.7,5.35,5.48,17112.0,0.0,0.0
2018-04-18,5.5,5.54,5.35,5.52,19280.0,0.0,0.0
2018-04-19,5.51,5.57,5.46,5.48,11578.0,0.0,0.0
2018-04-20,5.48,5.51,5.14,5.15,17078.0,0.0,0.0
2018-04-23,5.1,5.27,5.1,5.2,9451.0,0.0,0.0
2018-04-24,5.17,5.37,5.17,5.3,13708.0,0.0,0.0
2018-04-25,5.26,5.43,5.25,5.39,14139.0,0.0,0.0
2018-04-26,5.35,5.45,5.18,5.2,16042.0,0.0,0.0
2018-04-27,5.22,5.28,5.19,5.22,10770.0,0.0,0.0
2018-05-02,5.23,5.29,5.1,5.12,15420.0,0.0,0.0
2018-05-03,5.0,5.19,4.99,5.18,18836.0,0.0,0.0
2018-05-04,5.18,5.21,5.09,5.15,13180.0,0.0,0.0
2018-05-07,5.16,5.27,5.14,5.26,14159.0,0.0,0.0
2018-05-08,5.22,5.32,5.22,5.32,15201.0,0.0,0.0
2018-05-09,5.29,5.36,5.25,5.3,17511.0,0.0,0.0
2018-05-10,5.31,5.44,5.29,5.37,18584.0,0.0,0.0
2018-05-11,5.38,5.4,5.25,5.26,13405.0,0.0,0.0
2018-05-14,5.26,5.33,5.21,5.26,10498.0,0.0,0.0
2018-05-15,5.26,5.3,5.18,5.3,13675.0,0.0,0.0
2018-05-16,5.29,5.3,5.19,5.27,14457.0,0.0,0.0
2018-05-17,5.23,5.26,5.17,5.21,11743.0,0.0,0.0
2018-05-18,5.2,5.26,5.2,5.25,11046.0,0.0,0.0
2018-05-21,5.28,5.33,5.23,5.31,13505.0,0.0,0.0
2018-05-22,5.28,5.37,5.27,5.32,13421.0,0.0,0.0
2018-05-23,5.31,5.35,5.22,5.24,16677.0,0.0,0.0
2018-05-24,5.21,5.27,5.2,5.21,9919.0,0.0,0.0
2018-05-25,5.22,5.22,5.1,5.11,10739.0,0.0,0.0
2018-05-28,5.06,5.12,4.95,5.01,20999.0,0.0,0.0
2018-05-29,5.01,5.06,4.95,4.97,19046.0,0.0,0.0
2018-05-30,4.95,4.95,4.71,4.72,17741.0,0.0,0.0
2018-05-31,4.76,4.85,4.73,4.84,12519.0,0.0,0.0
2018-06-01,4.81,4.88,4.77,4.81,9897.0,0.0,0.0
2018-06-04,4.8,4.83,4.7,4.71,15121.0,0.0,0.0
2018-06-05,4.73,4.8,4.67,4.78,11287.0,0.0,0.0
2018-06-06,4.79,4.88,4.77,4.86,12566.0,0.0,0.0
2018-06-07,4.86,4.87,4.77,4.82,10467.0,0.0,0.0
2018-06-08,4.8,4.82,4.7,4.72,10790.0,0.0,0.0
2018-06-11,4.71,4.72,4.57,4.6,6871.0,0.0,0.0
2018-06-12,4.59,4.7,4.58,4.67,9149.0,0.0,0.0
