date,open,high,low,close,volume,openinterest,ma
2018-01-02,13.381,14.602,13.35,14.602,212599.0,0.0,0.0
2018-01-03,14.896,15.004,14.424,14.509,333923.0,0.0,0.0
2018-01-04,14.471,15.615,14.231,15.043,326560.0,0.0,0.0
2018-01-05,14.849,16.164,14.625,15.282,373900.0,0.0,0.0
2018-01-08,15.12,15.824,15.12,15.452,274031.0,0.0,0.0
2018-01-09,15.313,15.429,15.081,15.275,162509.0,0.0,0.0
2018-01-10,15.112,15.8,15.112,15.321,181572.0,0.0,0.0
2018-01-11,15.143,15.143,14.362,14.571,191309.0,0.0,0.0
2018-01-12,14.463,14.873,14.463,14.726,108930.0,0.0,0.0
2018-01-15,14.502,14.795,14.192,14.277,98368.0,0.0,0.0
2018-01-16,14.293,14.71,14.293,14.656,91692.0,0.0,0.0
2018-01-17,14.656,14.819,14.37,14.741,86801.0,0.0,0.0
2018-01-18,14.695,15.166,14.61,14.942,132538.0,0.0,0.0
2018-01-19,14.873,15.027,14.517,14.579,110821.0,0.0,0.0
2018-01-22,14.502,14.772,14.393,14.703,69496.0,0.0,0.0
2018-01-23,14.641,15.074,14.587,15.035,133406.0,0.0,0.0
2018-01-24,14.973,14.981,14.602,14.772,94849.0,0.0,0.0
2018-01-25,14.803,15.004,14.71,14.788,100502.0,0.0,0.0
2018-01-26,14.633,15.321,14.44,14.927,182429.0,0.0,0.0
2018-01-29,14.811,15.244,14.656,14.726,145316.0,0.0,0.0
2018-01-30,14.579,14.656,14.045,14.084,104512.0,0.0,0.0
2018-01-31,14.076,14.393,13.976,14.045,86370.0,0.0,0.0
2018-02-01,14.076,14.316,13.172,13.35,107179.0,0.0,0.0
2018-02-02,13.11,13.929,12.963,13.806,99562.0,0.0,0.0
2018-02-05,13.62,14.138,13.535,13.999,86382.0,0.0,0.0
2018-02-06,13.821,13.96,13.033,13.079,87317.0,0.0,0.0
2018-02-07,13.28,13.852,13.079,13.419,83116.0,0.0,0.0
2018-02-08,13.265,13.527,13.234,13.388,51002.0,0.0,0.0
2018-02-09,13.079,13.11,12.205,12.368,95023.0,0.0,0.0
2018-02-12,12.492,12.7,12.414,12.584,42732.0,0.0,0.0
2018-02-13,12.708,12.855,12.592,12.608,45337.0,0.0,0.0
2018-02-14,12.646,12.801,12.569,12.762,38392.0,0.0,0.0
2018-02-22,12.94,13.806,12.94,13.342,86591.0,0.0,0.0
2018-02-23,13.187,13.52,13.125,13.412,69522.0,0.0,0.0
2018-02-26,13.419,13.651,13.218,13.643,88201.0,0.0,0.0
2018-02-27,13.767,13.767,13.35,13.419,68979.0,0.0,0.0
2018-02-28,13.412,13.535,13.195,13.404,52486.0,0.0,0.0
2018-03-01,13.172,13.643,13.172,13.473,91496.0,0.0,0.0
2018-03-02,13.288,13.342,13.04,13.071,129676.0,0.0,0.0
2018-03-05,13.079,13.133,12.894,13.01,63685.0,0.0,0.0
2018-03-06,13.002,13.334,13.002,13.326,102665.0,0.0,0.0
2018-03-07,13.303,13.388,13.071,13.071,73202.0,0.0,0.0
2018-03-08,13.125,13.396,12.979,13.381,92099.0,0.0,0.0
2018-03-09,13.381,13.558,13.226,13.497,99115.0,0.0,0.0
2018-03-12,13.497,13.736,13.381,13.651,110482.0,0.0,0.0
2018-03-13,13.605,13.844,13.535,13.597,119066.0,0.0,0.0
2018-03-14,13.543,14.502,13.388,14.277,266613.0,0.0,0.0
2018-03-15,14.084,14.169,13.744,13.922,154204.0,0.0,0.0
2018-03-16,14.022,14.169,13.868,13.922,108627.0,0.0,0.0
2018-03-19,13.875,13.875,13.442,13.636,85495.0,0.0,0.0
2018-03-20,13.535,13.783,13.442,13.69,62631.0,0.0,0.0
2018-03-21,13.651,13.875,13.373,13.419,87720.0,0.0,0.0
2018-03-22,13.296,13.721,13.296,13.427,75179.0,0.0,0.0
2018-03-23,13.017,13.125,12.267,12.391,119810.0,0.0,0.0
2018-03-26,12.26,12.6,11.641,12.553,64264.0,0.0,0.0
2018-03-27,12.631,12.87,12.623,12.77,62683.0,0.0,0.0
2018-03-28,12.662,12.901,12.569,12.685,50852.0,0.0,0.0
2018-03-29,12.754,13.172,12.693,13.095,94974.0,0.0,0.0
2018-03-30,13.11,13.11,12.901,12.971,63083.0,0.0,0.0
2018-04-02,12.979,13.164,12.894,12.932,53565.0,0.0,0.0
2018-04-03,12.662,13.01,12.646,12.932,58930.0,0.0,0.0
2018-04-04,12.924,13.102,12.901,12.948,56764.0,0.0,0.0
2018-04-09,12.839,13.125,12.801,13.025,48020.0,0.0,0.0
2018-04-10,13.172,13.558,13.156,13.257,95037.0,0.0,0.0
2018-04-11,13.296,13.381,13.149,13.28,64701.0,0.0,0.0
2018-04-12,13.234,13.388,13.118,13.172,53942.0,0.0,0.0
2018-04-13,13.187,13.288,13.064,13.156,42346.0,0.0,0.0
2018-04-16,13.226,13.241,12.731,12.94,61017.0,0.0,0.0
2018-04-17,12.94,13.064,12.778,12.801,38899.0,0.0,0.0
2018-04-18,12.886,12.955,12.538,12.832,41855.0,0.0,0.0
2018-04-19,12.832,12.94,12.723,12.894,38305.0,0.0,0.0
2018-04-20,12.801,12.801,12.383,12.399,60992.0,0.0,0.0
2018-04-23,12.399,12.53,12.144,12.26,40961.0,0.0,0.0
2018-04-24,12.391,12.584,12.298,12.515,47426.0,0.0,0.0
2018-04-25,12.492,12.561,12.345,12.553,47541.0,0.0,0.0
2018-04-26,12.561,12.561,12.26,12.275,35764.0,0.0,0.0
2018-04-27,12.291,12.383,12.12,12.198,43505.0,0.0,0.0
2018-05-02,12.198,12.414,12.182,12.221,34379.0,0.0,0.0
2018-05-03,12.205,12.236,11.881,12.128,50589.0,0.0,0.0
2018-05-04,12.105,12.337,11.981,12.012,45029.0,0.0,0.0
2018-05-07,12.028,12.151,11.95,12.144,45598.0,0.0,0.0
2018-05-08,12.128,12.221,12.074,12.198,38296.0,0.0,0.0
2018-05-09,12.175,12.321,12.12,12.167,39494.0,0.0,0.0
2018-05-10,12.229,12.306,12.128,12.298,40463.0,0.0,0.0
2018-05-11,12.306,12.306,12.12,12.175,36907.0,0.0,0.0
2018-05-14,12.167,12.221,11.997,12.043,33550.0,0.0,0.0
2018-05-15,12.105,12.105,11.912,12.051,28371.0,0.0,0.0
2018-05-16,12.028,12.028,11.919,11.935,27677.0,0.0,0.0
2018-05-17,11.997,11.997,11.796,11.819,34197.0,0.0,0.0
2018-05-18,11.803,11.896,11.742,11.896,26571.0,0.0,0.0
2018-05-21,11.935,12.043,11.935,11.997,31012.0,0.0,0.0
2018-05-22,12.066,12.205,11.966,12.182,55151.0,0.0,0.0
2018-05-23,12.19,12.198,11.981,11.997,28401.0,0.0,0.0
2018-05-24,11.958,12.02,11.858,11.904,28089.0,0.0,0.0
2018-05-25,11.881,12.028,11.672,11.672,36580.0,0.0,0.0
2018-05-28,11.688,11.78,11.502,11.595,29301.0,0.0,0.0
2018-05-29,11.587,11.595,10.953,11.139,64314.0,0.0,0.0
2018-05-30,10.961,10.961,10.721,10.914,53732.0,0.0,0.0
