date,open,high,low,close,volume,openinterest,ma
2018-01-02,4.05,4.09,4.03,4.08,20677.0,0.0,0.0
2018-01-03,4.08,4.13,4.07,4.13,22868.0,0.0,0.0
2018-01-04,4.17,4.36,4.17,4.28,95964.0,0.0,0.0
2018-01-05,4.24,4.31,4.21,4.29,30176.0,0.0,0.0
2018-01-08,4.3,4.38,4.29,4.3,33605.0,0.0,0.0
2018-01-09,4.34,4.4,4.33,4.33,37241.0,0.0,0.0
2018-01-10,4.36,4.36,4.21,4.25,30075.0,0.0,0.0
2018-01-11,4.25,4.35,4.22,4.34,38437.0,0.0,0.0
2018-01-12,4.31,4.52,4.31,4.43,70027.0,0.0,0.0
2018-01-15,4.43,4.53,4.4,4.42,58543.0,0.0,0.0
2018-01-16,4.44,4.47,4.38,4.43,33596.0,0.0,0.0
2018-01-17,4.43,4.45,4.3,4.36,35665.0,0.0,0.0
2018-01-18,4.35,4.36,4.31,4.36,21889.0,0.0,0.0
2018-01-19,4.35,4.42,4.33,4.35,22064.0,0.0,0.0
2018-01-22,4.33,4.44,4.32,4.43,21025.0,0.0,0.0
2018-01-23,4.45,4.53,4.41,4.44,37095.0,0.0,0.0
2018-01-24,4.43,4.43,4.38,4.4,20877.0,0.0,0.0
2018-01-25,4.4,4.43,4.39,4.42,24642.0,0.0,0.0
2018-01-26,4.42,4.42,4.35,4.38,32165.0,0.0,0.0
2018-01-29,4.38,4.44,4.36,4.39,16158.0,0.0,0.0
2018-01-30,4.39,4.41,4.38,4.41,14533.0,0.0,0.0
2018-01-31,4.41,4.41,4.32,4.33,27963.0,0.0,0.0
2018-02-01,4.33,4.39,4.12,4.14,49770.0,0.0,0.0
2018-02-02,4.13,4.15,4.07,4.13,25632.0,0.0,0.0
2018-02-05,4.11,4.11,4.04,4.11,26450.0,0.0,0.0
2018-02-06,4.07,4.08,3.96,3.98,25120.0,0.0,0.0
2018-02-07,4.0,4.06,3.93,4.04,24482.0,0.0,0.0
2018-02-08,4.02,4.06,3.99,4.03,14407.0,0.0,0.0
2018-02-09,4.0,4.41,3.93,4.26,91529.0,0.0,0.0
2018-02-12,4.24,4.29,4.2,4.23,40259.0,0.0,0.0
2018-02-13,4.22,4.24,4.11,4.13,35958.0,0.0,0.0
2018-02-14,4.18,4.18,4.09,4.11,10781.0,0.0,0.0
2018-02-22,4.14,4.16,4.12,4.16,14985.0,0.0,0.0
2018-02-23,4.15,4.23,4.12,4.19,21382.0,0.0,0.0
2018-02-26,4.19,4.27,4.18,4.24,30507.0,0.0,0.0
2018-02-27,4.24,4.26,4.2,4.24,24518.0,0.0,0.0
2018-02-28,4.21,4.34,4.2,4.31,51927.0,0.0,0.0
2018-03-01,4.3,4.36,4.27,4.35,38898.0,0.0,0.0
2018-03-02,4.35,4.35,4.25,4.26,29109.0,0.0,0.0
2018-03-05,4.23,4.33,4.22,4.31,34688.0,0.0,0.0
2018-03-06,4.31,4.32,4.27,4.32,20882.0,0.0,0.0
2018-03-07,4.3,4.4,4.27,4.31,34181.0,0.0,0.0
2018-03-08,4.28,4.32,4.25,4.29,29737.0,0.0,0.0
2018-03-09,4.26,4.3,4.25,4.27,33998.0,0.0,0.0
2018-03-12,4.27,4.29,4.24,4.27,47226.0,0.0,0.0
2018-03-13,4.26,4.27,4.24,4.24,25316.0,0.0,0.0
2018-03-14,4.23,4.25,4.11,4.13,52448.0,0.0,0.0
2018-03-15,4.14,4.14,4.06,4.1,37651.0,0.0,0.0
2018-03-16,4.1,4.1,4.05,4.05,17317.0,0.0,0.0
2018-03-19,4.06,4.13,4.06,4.12,25794.0,0.0,0.0
2018-03-20,4.11,4.12,4.06,4.1,16318.0,0.0,0.0
2018-03-21,4.1,4.13,4.08,4.1,22498.0,0.0,0.0
2018-03-22,4.1,4.2,4.06,4.15,38192.0,0.0,0.0
2018-03-23,4.1,4.1,3.92,3.98,51163.0,0.0,0.0
2018-03-26,3.94,3.96,3.85,3.95,28179.0,0.0,0.0
2018-03-27,3.97,4.02,3.93,4.01,33312.0,0.0,0.0
2018-03-28,3.95,3.98,3.88,3.9,43655.0,0.0,0.0
2018-03-29,3.91,3.95,3.87,3.93,23264.0,0.0,0.0
2018-03-30,3.91,3.98,3.91,3.95,20394.0,0.0,0.0
2018-04-02,3.96,3.98,3.92,3.96,23335.0,0.0,0.0
2018-04-03,3.93,3.93,3.88,3.91,26231.0,0.0,0.0
2018-04-04,3.91,3.95,3.89,3.92,19859.0,0.0,0.0
2018-04-09,3.86,3.92,3.86,3.89,24904.0,0.0,0.0
2018-04-10,3.89,3.89,3.8,3.85,48171.0,0.0,0.0
2018-04-11,3.86,3.89,3.83,3.85,37066.0,0.0,0.0
2018-04-12,3.84,3.88,3.82,3.84,29562.0,0.0,0.0
2018-04-13,3.85,3.87,3.81,3.86,25126.0,0.0,0.0
2018-04-16,3.84,3.85,3.74,3.78,36597.0,0.0,0.0
2018-04-17,3.78,3.78,3.67,3.68,38178.0,0.0,0.0
2018-04-18,3.73,3.73,3.64,3.71,27457.0,0.0,0.0
2018-04-19,3.7,3.73,3.68,3.71,21501.0,0.0,0.0
2018-04-20,3.7,3.7,3.6,3.68,34539.0,0.0,0.0
2018-04-23,3.68,3.69,3.62,3.68,28346.0,0.0,0.0
2018-04-24,3.66,3.72,3.65,3.7,20707.0,0.0,0.0
2018-04-25,3.69,3.73,3.68,3.71,22765.0,0.0,0.0
2018-04-26,3.7,3.7,3.65,3.65,19743.0,0.0,0.0
2018-04-27,3.66,3.68,3.64,3.67,15033.0,0.0,0.0
2018-05-02,3.66,3.71,3.66,3.7,14968.0,0.0,0.0
2018-05-03,3.7,3.71,3.67,3.7,23912.0,0.0,0.0
2018-05-04,3.7,3.76,3.68,3.73,29073.0,0.0,0.0
2018-05-07,3.73,3.91,3.68,3.82,54859.0,0.0,0.0
2018-05-08,3.84,3.96,3.8,3.88,51639.0,0.0,0.0
2018-05-09,3.94,3.98,3.84,3.9,51873.0,0.0,0.0
2018-05-10,3.89,3.92,3.84,3.86,32274.0,0.0,0.0
2018-05-11,3.86,3.87,3.82,3.83,15463.0,0.0,0.0
2018-05-14,3.83,3.87,3.82,3.84,19208.0,0.0,0.0
2018-05-15,3.85,3.87,3.82,3.86,22752.0,0.0,0.0
2018-05-16,3.86,3.86,3.76,3.79,23866.0,0.0,0.0
2018-05-17,3.77,3.79,3.75,3.79,15704.0,0.0,0.0
2018-05-18,3.79,3.81,3.77,3.8,18211.0,0.0,0.0
2018-05-21,3.81,3.84,3.8,3.83,33693.0,0.0,0.0
2018-05-22,3.83,3.83,3.79,3.82,23477.0,0.0,0.0
2018-05-23,3.8,3.86,3.8,3.84,34189.0,0.0,0.0
2018-05-24,3.83,3.83,3.77,3.78,24627.0,0.0,0.0
2018-05-25,3.8,3.8,3.72,3.73,18326.0,0.0,0.0
2018-05-28,3.71,3.75,3.69,3.7,14771.0,0.0,0.0
2018-05-29,3.72,3.72,3.66,3.67,14139.0,0.0,0.0
2018-05-30,3.66,3.95,3.57,3.82,136953.0,0.0,0.0
2018-05-31,3.82,3.86,3.77,3.84,44236.0,0.0,0.0
2018-06-01,3.84,3.88,3.81,3.82,38383.0,0.0,0.0
2018-06-04,3.83,3.84,3.68,3.69,42146.0,0.0,0.0
2018-06-05,3.69,3.73,3.67,3.71,20329.0,0.0,0.0
2018-06-06,3.71,3.71,3.66,3.7,14468.0,0.0,0.0
2018-06-07,3.69,3.71,3.68,3.68,12151.0,0.0,0.0
2018-06-08,3.68,3.68,3.6,3.63,14818.0,0.0,0.0
2018-06-11,3.6,3.63,3.57,3.62,18399.0,0.0,0.0
2018-06-12,3.62,3.64,3.59,3.64,12673.0,0.0,0.0
2018-06-13,3.63,3.63,3.58,3.6,19639.0,0.0,0.0
2018-06-14,3.59,3.6,3.56,3.58,11370.0,0.0,0.0
2018-06-15,3.59,3.6,3.55,3.58,17495.0,0.0,0.0
