date,open,high,low,close,volume,openinterest,ma
2018-01-02,10.617,10.647,10.537,10.617,15955.0,0.0,0.0
2018-01-03,10.597,10.797,10.587,10.707,18933.0,0.0,0.0
2018-01-04,10.717,10.717,10.587,10.597,20852.0,0.0,0.0
2018-01-05,10.597,10.667,10.577,10.637,12686.0,0.0,0.0
2018-01-08,10.697,10.707,10.597,10.647,15053.0,0.0,0.0
2018-01-09,10.637,10.667,10.587,10.607,13026.0,0.0,0.0
2018-01-10,10.597,10.597,10.407,10.477,16076.0,0.0,0.0
2018-01-11,10.447,10.577,10.377,10.537,12179.0,0.0,0.0
2018-01-12,10.567,10.577,10.487,10.497,8484.0,0.0,0.0
2018-01-15,10.497,10.497,10.137,10.157,24369.0,0.0,0.0
2018-01-16,10.117,10.287,10.117,10.237,14502.0,0.0,0.0
2018-01-17,10.247,10.257,10.067,10.197,18079.0,0.0,0.0
2018-01-18,10.147,10.257,10.147,10.227,13983.0,0.0,0.0
2018-01-19,10.217,10.447,10.197,10.247,19011.0,0.0,0.0
2018-01-22,10.247,10.327,10.147,10.287,10882.0,0.0,0.0
2018-01-23,10.267,10.417,10.267,10.387,17282.0,0.0,0.0
2018-01-24,10.337,10.367,10.147,10.347,21411.0,0.0,0.0
2018-01-25,10.307,10.447,10.287,10.357,20339.0,0.0,0.0
2018-01-26,10.347,10.727,10.327,10.537,41165.0,0.0,0.0
2018-01-29,10.517,10.567,10.327,10.457,17562.0,0.0,0.0
2018-01-30,10.427,10.567,10.277,10.387,12272.0,0.0,0.0
2018-01-31,10.317,10.377,9.797,9.857,30238.0,0.0,0.0
2018-02-01,9.837,9.937,9.387,9.467,31887.0,0.0,0.0
2018-02-02,9.447,9.537,9.017,9.427,20774.0,0.0,0.0
2018-02-05,9.317,9.677,9.317,9.497,18114.0,0.0,0.0
2018-02-06,9.297,9.297,8.867,8.867,21624.0,0.0,0.0
2018-02-07,9.067,9.157,8.737,8.927,15934.0,0.0,0.0
2018-02-08,8.997,9.087,8.877,9.007,9445.0,0.0,0.0
2018-02-09,8.807,8.807,8.557,8.617,19783.0,0.0,0.0
2018-02-12,8.647,8.837,8.647,8.797,10878.0,0.0,0.0
2018-02-13,8.827,8.907,8.787,8.787,9426.0,0.0,0.0
2018-02-14,8.787,8.847,8.697,8.767,6492.0,0.0,0.0
2018-02-22,8.807,8.917,8.807,8.867,8038.0,0.0,0.0
2018-02-23,8.867,9.757,8.807,9.277,41228.0,0.0,0.0
2018-02-26,9.297,9.397,9.157,9.347,28540.0,0.0,0.0
2018-02-27,9.357,9.357,9.187,9.227,19694.0,0.0,0.0
2018-02-28,9.167,9.267,9.127,9.187,12999.0,0.0,0.0
2018-03-01,9.137,9.377,9.127,9.307,18468.0,0.0,0.0
2018-03-02,9.257,9.567,9.227,9.367,25360.0,0.0,0.0
2018-03-05,9.427,9.567,9.287,9.457,21982.0,0.0,0.0
2018-03-06,9.467,9.607,9.407,9.497,18869.0,0.0,0.0
2018-03-07,9.487,9.557,9.377,9.397,15795.0,0.0,0.0
2018-03-08,9.427,9.467,9.357,9.447,11228.0,0.0,0.0
2018-03-09,9.487,9.637,9.397,9.617,26352.0,0.0,0.0
2018-03-12,9.607,9.877,9.607,9.747,29253.0,0.0,0.0
2018-03-13,9.737,9.917,9.677,9.727,21502.0,0.0,0.0
2018-03-14,9.737,9.737,9.527,9.527,18651.0,0.0,0.0
2018-03-15,9.547,9.707,9.417,9.477,18669.0,0.0,0.0
2018-03-16,9.417,9.697,9.357,9.467,15053.0,0.0,0.0
2018-03-19,9.467,9.587,9.347,9.497,16267.0,0.0,0.0
2018-03-20,9.437,9.467,9.347,9.427,14178.0,0.0,0.0
2018-03-21,9.427,9.587,9.417,9.457,21429.0,0.0,0.0
2018-03-22,9.427,9.767,9.427,9.627,32495.0,0.0,0.0
2018-03-23,9.417,10.337,9.287,9.837,126853.0,0.0,0.0
2018-03-26,9.957,10.087,9.297,9.867,100830.0,0.0,0.0
2018-03-27,9.957,10.597,9.767,10.457,148172.0,0.0,0.0
2018-03-28,10.297,10.507,10.147,10.477,92049.0,0.0,0.0
2018-03-29,10.457,10.467,10.237,10.327,56353.0,0.0,0.0
2018-03-30,10.367,10.437,10.157,10.167,59021.0,0.0,0.0
2018-04-02,10.357,11.017,10.257,10.797,121511.0,0.0,0.0
2018-04-03,10.627,10.957,10.577,10.697,87711.0,0.0,0.0
2018-04-04,10.777,10.967,10.657,10.827,80281.0,0.0,0.0
2018-04-09,10.827,10.987,10.687,10.797,56895.0,0.0,0.0
2018-04-10,10.477,10.477,9.817,9.997,113044.0,0.0,0.0
2018-04-11,9.907,10.187,9.907,10.097,59865.0,0.0,0.0
2018-04-12,10.037,10.067,9.897,9.957,44725.0,0.0,0.0
2018-04-13,10.007,10.057,9.717,9.787,38871.0,0.0,0.0
2018-04-16,9.907,9.947,9.667,9.747,34680.0,0.0,0.0
2018-04-17,9.787,9.897,9.717,9.807,39625.0,0.0,0.0
2018-04-18,9.827,9.847,9.357,9.627,47223.0,0.0,0.0
2018-04-19,9.587,9.637,9.437,9.597,29142.0,0.0,0.0
2018-04-20,9.607,9.627,9.307,9.307,34819.0,0.0,0.0
2018-04-23,9.247,9.287,8.977,9.067,30991.0,0.0,0.0
2018-04-24,9.087,9.327,9.047,9.277,26870.0,0.0,0.0
2018-04-25,9.267,9.697,9.267,9.427,37021.0,0.0,0.0
2018-04-26,9.467,9.467,9.067,9.097,32046.0,0.0,0.0
2018-04-27,9.167,9.377,9.077,9.327,23343.0,0.0,0.0
2018-05-02,9.347,9.517,9.317,9.397,31211.0,0.0,0.0
2018-05-03,9.357,9.737,9.357,9.677,44140.0,0.0,0.0
2018-05-04,9.617,9.667,9.497,9.587,28231.0,0.0,0.0
2018-05-07,9.567,9.747,9.547,9.717,32508.0,0.0,0.0
2018-05-08,9.717,10.037,9.677,9.917,60867.0,0.0,0.0
2018-05-09,9.957,9.967,9.827,9.857,30376.0,0.0,0.0
2018-05-10,9.837,10.057,9.837,9.967,32116.0,0.0,0.0
2018-05-11,9.977,10.007,9.747,9.777,26263.0,0.0,0.0
2018-05-14,9.787,9.787,9.587,9.647,34575.0,0.0,0.0
2018-05-15,9.677,9.877,9.597,9.857,31267.0,0.0,0.0
2018-05-16,9.847,10.127,9.747,10.017,57877.0,0.0,0.0
2018-05-17,9.967,10.997,9.937,10.417,135783.0,0.0,0.0
2018-05-18,10.547,10.607,10.207,10.427,79672.0,0.0,0.0
2018-05-21,10.307,10.897,10.117,10.627,103230.0,0.0,0.0
2018-05-22,10.467,10.577,10.367,10.487,60543.0,0.0,0.0
2018-05-23,10.407,10.657,10.227,10.287,57645.0,0.0,0.0
2018-05-24,10.267,10.417,10.107,10.117,39345.0,0.0,0.0
2018-05-25,10.177,10.247,10.047,10.187,36359.0,0.0,0.0
2018-05-28,10.367,10.447,10.127,10.327,42403.0,0.0,0.0
2018-05-29,10.317,10.437,10.137,10.147,44785.0,0.0,0.0
2018-05-30,10.017,10.387,9.827,10.027,61041.0,0.0,0.0
2018-05-31,10.057,10.667,9.877,10.577,108705.0,0.0,0.0
2018-06-01,10.507,10.927,10.417,10.697,148316.0,0.0,0.0
2018-06-04,10.717,10.817,10.347,10.587,92511.0,0.0,0.0
2018-06-05,10.517,10.887,10.407,10.867,100122.0,0.0,0.0
2018-06-06,10.807,11.187,10.597,11.077,125300.0,0.0,0.0
2018-06-07,10.917,11.097,10.597,10.617,89463.0,0.0,0.0
2018-06-08,10.577,10.627,10.167,10.307,77351.0,0.0,0.0
2018-06-11,10.237,10.467,10.117,10.387,47856.0,0.0,0.0
2018-06-12,10.357,10.557,10.197,10.537,58773.0,0.0,0.0
2018-06-13,10.487,10.487,10.127,10.137,48235.0,0.0,0.0
2018-06-14,10.037,10.137,9.717,9.717,59615.0,0.0,0.0
2018-06-15,9.467,9.667,9.207,9.267,57800.0,0.0,0.0
2018-06-19,9.167,9.577,8.537,8.847,64255.0,0.0,0.0
2018-06-20,7.957,8.207,7.937,8.077,122498.0,0.0,0.0
