date,open,high,low,close,volume,openinterest,ma
2018-03-07,16.136,17.686,15.876,16.386,129320.0,0.0,0.0
2018-03-08,16.106,16.106,15.416,15.516,88902.0,0.0,0.0
2018-03-09,15.426,15.946,15.306,15.746,57606.0,0.0,0.0
2018-03-12,15.756,16.026,15.616,15.836,63511.0,0.0,0.0
2018-03-13,17.196,17.456,16.616,17.456,46873.0,0.0,0.0
2018-03-14,18.406,19.246,17.726,17.936,192005.0,0.0,0.0
2018-03-15,17.526,19.486,17.016,18.746,165195.0,0.0,0.0
2018-03-16,18.606,19.276,18.006,18.826,170940.0,0.0,0.0
2018-03-19,18.666,18.696,18.026,18.106,100941.0,0.0,0.0
2018-03-20,17.606,17.876,17.306,17.686,68882.0,0.0,0.0
2018-03-21,17.786,18.086,17.306,17.446,79087.0,0.0,0.0
2018-03-22,17.376,17.536,16.916,17.186,57128.0,0.0,0.0
2018-03-23,16.216,16.706,15.426,15.426,78625.0,0.0,0.0
2018-03-26,14.646,15.586,14.626,15.556,44295.0,0.0,0.0
2018-03-27,15.726,16.266,15.726,15.906,48558.0,0.0,0.0
2018-03-28,15.686,15.856,15.356,15.356,40610.0,0.0,0.0
2018-03-29,15.316,16.096,15.316,16.016,45592.0,0.0,0.0
2018-03-30,16.186,16.446,15.856,16.426,60040.0,0.0,0.0
2018-04-02,16.426,17.096,16.366,16.376,51307.0,0.0,0.0
2018-04-03,16.106,16.106,15.616,15.846,35186.0,0.0,0.0
2018-04-04,15.866,16.366,15.866,15.896,37268.0,0.0,0.0
2018-04-09,15.656,16.326,15.626,16.226,37689.0,0.0,0.0
2018-04-10,16.366,16.366,15.906,16.146,31606.0,0.0,0.0
2018-04-11,16.146,16.346,16.066,16.276,29670.0,0.0,0.0
2018-04-12,16.276,16.456,15.996,16.066,33038.0,0.0,0.0
2018-04-13,16.196,16.196,15.726,15.806,27356.0,0.0,0.0
2018-04-16,16.006,16.006,15.406,15.526,23983.0,0.0,0.0
2018-04-17,15.606,15.756,15.296,15.356,22630.0,0.0,0.0
2018-04-18,15.566,15.566,14.606,15.276,34474.0,0.0,0.0
2018-04-19,15.206,15.536,15.156,15.306,30410.0,0.0,0.0
2018-04-20,15.126,15.286,14.636,14.676,31694.0,0.0,0.0
2018-04-23,14.676,14.816,14.496,14.756,20624.0,0.0,0.0
2018-04-24,14.766,15.096,14.766,15.046,18763.0,0.0,0.0
2018-04-25,15.026,15.376,14.946,15.166,21910.0,0.0,0.0
2018-04-26,15.256,16.006,14.916,15.366,46086.0,0.0,0.0
2018-04-27,15.316,15.566,15.206,15.316,27825.0,0.0,0.0
2018-05-02,15.156,15.296,14.786,15.136,23916.0,0.0,0.0
2018-05-03,15.026,15.456,15.006,15.406,22000.0,0.0,0.0
2018-05-04,15.576,16.176,15.456,15.646,39213.0,0.0,0.0
2018-05-07,15.586,15.906,15.466,15.746,28506.0,0.0,0.0
2018-05-08,16.556,17.356,16.186,16.206,74930.0,0.0,0.0
2018-05-09,16.206,16.466,15.946,16.186,41097.0,0.0,0.0
2018-05-10,16.116,16.246,15.976,16.036,26335.0,0.0,0.0
2018-05-11,16.036,16.036,15.736,15.766,22732.0,0.0,0.0
2018-05-14,15.716,15.906,15.606,15.676,17991.0,0.0,0.0
2018-05-15,15.706,15.926,15.676,15.916,16047.0,0.0,0.0
2018-05-16,15.896,15.986,15.686,15.736,13835.0,0.0,0.0
2018-05-17,15.756,15.816,15.426,15.466,16364.0,0.0,0.0
2018-05-18,15.506,15.666,15.346,15.616,12299.0,0.0,0.0
2018-05-21,15.736,16.046,15.706,16.006,19780.0,0.0,0.0
2018-05-22,16.181,17.291,16.011,16.701,78185.0,0.0,0.0
2018-05-23,16.451,16.581,16.331,16.391,34657.0,0.0,0.0
2018-05-24,16.541,16.571,16.251,16.301,19711.0,0.0,0.0
2018-05-25,16.281,16.411,15.861,15.881,25259.0,0.0,0.0
2018-05-28,15.731,15.981,15.661,15.771,14630.0,0.0,0.0
2018-05-29,15.701,15.951,15.531,15.531,17867.0,0.0,0.0
2018-05-30,15.301,15.511,14.731,14.911,24879.0,0.0,0.0
2018-05-31,15.081,15.361,15.041,15.231,16763.0,0.0,0.0
2018-06-01,15.131,15.311,14.711,14.771,18956.0,0.0,0.0
2018-06-04,14.881,14.941,14.541,14.721,16510.0,0.0,0.0
2018-06-05,14.791,14.981,14.711,14.961,17102.0,0.0,0.0
2018-06-06,14.941,15.231,14.931,15.141,19406.0,0.0,0.0
2018-06-07,15.131,15.221,14.811,14.911,14470.0,0.0,0.0
2018-06-08,15.961,15.961,15.141,15.341,48950.0,0.0,0.0
2018-06-11,15.071,15.311,14.841,15.001,19128.0,0.0,0.0
2018-06-12,14.861,15.101,14.651,15.051,15930.0,0.0,0.0
2018-06-13,14.981,15.081,14.661,14.871,14896.0,0.0,0.0
2018-06-14,14.731,15.001,14.481,14.541,16781.0,0.0,0.0
2018-06-15,14.501,14.631,13.981,14.091,16885.0,0.0,0.0
2018-06-19,13.881,13.881,12.641,12.701,26529.0,0.0,0.0
2018-06-20,12.701,13.081,12.651,12.961,18986.0,0.0,0.0
2018-06-21,12.981,13.051,11.841,12.061,20720.0,0.0,0.0
2018-06-22,12.031,12.381,11.631,12.301,12514.0,0.0,0.0
2018-06-25,12.321,12.621,12.201,12.231,9602.0,0.0,0.0
2018-06-26,12.201,12.511,11.911,12.451,10370.0,0.0,0.0
2018-06-27,12.341,12.621,12.311,12.371,10918.0,0.0,0.0
2018-06-28,12.361,12.561,12.181,12.241,9263.0,0.0,0.0
2018-06-29,12.231,12.861,12.231,12.721,13243.0,0.0,0.0
2018-07-02,12.641,12.791,12.491,12.601,18545.0,0.0,0.0
